,Jornada,Centros de Formación Técnica,Institutos Profesionales,Universidades
0,Diurno,87571,189242,585539
1,Vespertino,48640,142597,78191
2,Semipresencial,211,5573,1503
3,A Distancia,1517,41787,2144
4,Otro,1,257,9538
5,Total general,137940,379456,676915
