,Tipo de universidad,Doctorado,Magíster
0,U. Cruch Estatal,498.0,2742.0
1,U. Cruch Privada,582.0,3494.0
2,U. Privadas,148.0,6153.0
3,Total general,1228.0,12389.0
4,A partir del año 2019 las Universidades Alberto Hurtado y Diego Portales se han integrado formalmente al Consejo de Rectores (Cruch).,,
