,Rango de edad,Doctorado,Magíster
0,15 a 19 años,,
1,20 a 24 años,112.0,3193.0
2,25 a 29 años,1747.0,11609.0
3,30 a 34 años,1621.0,10459.0
4,35 a 39 años,716.0,6166.0
5,40 y más años,952.0,8763.0
6,Sin información,24.0,13.0
7,Total general,5172.0,40203.0
8,Promedio de edad,33.65617715617716,33.81231649664095
