,Área,Matrícula Total Mujeres,Matrícula Total Hombres
0,Administración y Comercio,124919,102871
1,Agropecuaria,13924,13406
2,Arte y Arquitectura,28996,24277
3,Ciencias Básicas,8561,10097
4,Ciencias Sociales,71769,33088
5,Derecho,23121,19093
6,Educación,101525,35217
7,Humanidades,5865,3655
8,Salud,170970,54571
9,Tecnología,68166,261204
10,Sin área definida,842,590
11,Total general,618658,558069
